 -80.0      80.0       0.0     270.0      90.0     160.0      2  4  0
20200101060000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
20200101120000
     1.000     1.000     1.000     1.000
     1.000     1.000     1.000     1.000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
20200101180000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
20200102000000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
     1.000     1.000     1.000     1.000
     1.000     1.000     1.000     1.000
20200102060000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
20200102120000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
    -1.000    -1.000    -1.000    -1.000
    -1.000    -1.000    -1.000    -1.000
20200102180000
     2.000     2.000     2.000     2.000
     2.000     2.000     2.000     2.000
    -2.000    -2.000    -2.000    -2.000
    -2.000    -2.000    -2.000    -2.000
20200103000000
     1.000     1.000     1.000     1.000
     1.000     1.000     1.000     1.000
    -2.000    -2.000    -2.000    -2.000
    -2.000    -2.000    -2.000    -2.000
20200103060000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    -2.000    -2.000    -2.000    -2.000
    -2.000    -2.000    -2.000    -2.000
20200103120000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    -2.000    -2.000    -2.000    -2.000
    -2.000    -2.000    -2.000    -2.000
20200103180000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    -2.000    -2.000    -2.000    -2.000
    -2.000    -2.000    -2.000    -2.000
20200104000000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    -2.000    -2.000    -2.000    -2.000
    -2.000    -2.000    -2.000    -2.000
20200104060000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    -2.000    -2.000    -2.000    -2.000
    -2.000    -2.000    -2.000    -2.000
